period,org_code,parent_org,org_name,a&e_attendances_booked_appointments_type_1,a&e_attendances_booked_appointments_type_2,a&e_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4-12_hs_from_dta_to_admission,patients_who_have_waited_12+_hrs_from_dta_to_admission,emergency_admissions_via_a&e_-_type_1,emergency_admissions_via_a&e_-_type_2,emergency_admissions_via_a&e_-_other_a&e_department,other_emergency_admissions,month,year,number_of_a&e_attendances_type_1,number_of_a&e_attendances_type_2,number_of_a&e_attendances_other_a&e_department,number_of_attendances_over_4hrs_type_1,number_of_attendances_over_4hrs_type_2,number_of_attendances_over_4hrs_other_a&e_department,total_a&e_attendances,date,attendance_zscore,is_outlier,is_anomaly,season,attendance_rolling_avg,attendance_lag_1
MSitAE-JANUARY-2020,C83023,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),SLEAFORD MEDICAL GROUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RPC,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,283.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,Y02428,NHS ENGLAND EAST OF ENGLAND (EAST),PUTNOE MEDICAL CENTRE WALK IN CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,NMH01,NHS ENGLAND EAST OF ENGLAND (EAST),NORWICH PRACTICES LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,C82038,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LATHAM HOUSE MEDICAL PRACTICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RVY,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,12.0,2743.0,0.0,0.0,92.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),WORKINGTON HEALTH LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RTQ,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1,2020,2686.826886969583,95.73263236950808,1435.390912504694,636.5918137438979,1.0416823131806234,16.42883965452497,17172.648974668275,2020-01-01,0.0113053515217825,0,0,Winter,17172.648974668275,17172.648974668275
